0001 0.0125  1.51898734177215e+00
0002 0.0250  1.53821502964268e+00
0003 0.0375  1.55768610596728e+00
0004 0.0500  1.57740365161243e+00
0005 0.0625  1.59737078644297e+00
0006 0.0750  1.61759066981566e+00
0007 0.0875  1.63806650107915e+00
0008 0.1000  1.65880152008015e+00
0009 0.1125  1.67979900767610e+00
0010 0.1250  1.70106228625428e+00
0011 0.1375  1.72259472025750e+00
0012 0.1500  1.74439971671646e+00
0013 0.1625  1.76648072578882e+00
0014 0.1750  1.78884124130513e+00
0015 0.1875  1.81148480132165e+00
0016 0.2000  1.83441498868015e+00
0017 0.2125  1.85763543157484e+00
0018 0.2250  1.88114980412642e+00
0019 0.2375  1.90496182696346e+00
0020 0.2500  1.92907526781110e+00
0021 0.2625  1.95349394208719e+00
0022 0.2750  1.97822171350601e+00
0023 0.2875  2.00326249468963e+00
0024 0.3000  1.97853085895273e+00
0025 0.3125  1.95410455205207e+00
0026 0.3250  1.92997980449588e+00
0027 0.3375  1.90615289332926e+00
0028 0.3500  1.88262014155976e+00
0029 0.3625  1.85937791758989e+00
0030 0.3750  1.83642263465668e+00
0031 0.3875  1.81375075027820e+00
0032 0.4000  1.79135876570687e+00
0033 0.4125  1.76924322538950e+00
0034 0.4250  1.74740071643407e+00
0035 0.4375  1.72582786808304e+00
0036 0.4500  1.70452135119312e+00
0037 0.4625  1.68347787772160e+00
0038 0.4750  1.66269420021887e+00
0039 0.4875  1.64216711132728e+00
0040 0.5000  1.62189344328620e+00
0041 0.5125  1.60187006744316e+00
0042 0.5250  1.58209389377102e+00
0043 0.5375  1.56256187039113e+00
0044 0.5500  1.54327098310235e+00
0045 0.5625  1.52421825491590e+00
0046 0.5750  1.50540074559595e+00
0047 0.5875  1.48681555120588e+00
0048 0.6000  1.46845980366013e+00
0049 0.6125  1.45033067028161e+00
0050 0.6250  1.43242535336455e+00
0051 0.6375  1.41474108974277e+00
0052 0.6500  1.39727515036323e+00
0053 0.6625  1.38002483986491e+00
0054 0.6750  1.36298749616288e+00
0055 0.6875  1.34616049003741e+00
0056 0.7000  1.32954122472831e+00
0057 0.7125  1.31312713553413e+00
0058 0.7250  1.29691568941643e+00
0059 0.7375  1.28090438460882e+00
0060 0.7500  1.26509075023093e+00
0061 0.7625  1.24947234590709e+00
0062 0.7750  1.23404676138972e+00
0063 0.7875  1.21881161618738e+00
0064 0.8000  1.20376455919741e+00
0065 0.8125  1.18890326834312e+00
0066 0.8250  1.17422545021543e+00
0067 0.8375  1.15972883971894e+00
0068 0.8500  1.14541119972241e+00
0069 0.8625  1.13127032071349e+00
0070 0.8750  1.11730402045777e+00
0071 0.8875  1.10351014366199e+00
0072 0.9000  1.08988656164148e+00
0073 0.9125  1.07643117199158e+00
0074 0.9250  1.06314189826329e+00
0075 0.9375  1.05001668964275e+00
