0001 0.0250 0.0125 4.00000000000000e-01 2.00000000000000e+00
0002 0.0500 0.0250 7.20000000000000e-01 2.00000000000000e+00
0003 0.0750 0.0375 9.76000000000000e-01 2.00000000000000e+00
0004 0.1000 0.0500 1.00000000000000e+00 2.00000000000000e+00
0005 0.1250 0.0625 1.00000000000000e+00 2.00000000000000e+00
0006 0.1500 0.0750 1.00000000000000e+00 2.00000000000000e+00
0007 0.1750 0.0875 1.00000000000000e+00 2.00000000000000e+00
0008 0.2000 0.1000 1.00000000000000e+00 2.00000000000000e+00
0009 0.2250 0.1125 1.00000000000000e+00 2.00000000000000e+00
0010 0.2500 0.1250 1.00000000000000e+00 2.00000000000000e+00
0011 0.2750 0.1375 1.00000000000000e+00 2.00000000000000e+00
0012 0.3000 0.1500 1.00000000000000e+00 2.00000000000000e+00
0013 0.3250 0.1625 1.00000000000000e+00 2.00000000000000e+00
0014 0.3500 0.1750 1.00000000000000e+00 2.00000000000000e+00
0015 0.3750 0.1875 1.00000000000000e+00 2.00000000000000e+00
0016 0.4000 0.2000 1.00000000000000e+00 2.00000000000000e+00
0017 0.4250 0.2125 1.00000000000000e+00 2.00000000000000e+00
0018 0.4500 0.2250 1.00000000000000e+00 2.00000000000000e+00
0019 0.4750 0.2375 1.00000000000000e+00 2.00000000000000e+00
0020 0.5000 0.2500 1.00000000000000e+00 2.00000000000000e+00
0021 0.5250 0.2625 1.00000000000000e+00 2.00000000000000e+00
0022 0.5500 0.2750 1.00000000000000e+00 2.00000000000000e+00
0023 0.5750 0.2875 1.00000000000000e+00 2.00000000000000e+00
0024 0.6000 0.3000 1.00000000000000e+00 2.00000000000000e+00
0025 0.6250 0.3125 1.00000000000000e+00 2.00000000000000e+00
0026 0.6500 0.3250 1.00000000000000e+00 2.00000000000000e+00
0027 0.6750 0.3375 1.00000000000000e+00 2.00000000000000e+00
0028 0.7000 0.3500 1.00000000000000e+00 2.00000000000000e+00
0029 0.7250 0.3625 1.00000000000000e+00 2.00000000000000e+00
0030 0.7500 0.3750 1.00000000000000e+00 2.00000000000000e+00
0031 0.7750 0.3875 1.00000000000000e+00 2.00000000000000e+00
0032 0.8000 0.4000 1.00000000000000e+00 2.00000000000000e+00
0033 0.8250 0.4125 1.00000000000000e+00 2.00000000000000e+00
0034 0.8500 0.4250 1.00000000000000e+00 2.00000000000000e+00
0035 0.8750 0.4375 1.00000000000000e+00 2.00000000000000e+00
0036 0.9000 0.4500 1.00000000000000e+00 2.00000000000000e+00
0037 0.9250 0.4625 1.00000000000000e+00 2.00000000000000e+00
0038 0.9500 0.4750 1.00000000000000e+00 2.00000000000000e+00
0039 0.9750 0.4875 1.00000000000000e+00 2.00000000000000e+00
0040 1.0000 0.5000 4.00000000000000e-01 -2.00000000000000e+00
0041 1.0250 0.5125 -7.99999999999990e-02 -2.00000000000000e+00
0042 1.0500 0.5250 -4.64000000000001e-01 -2.00000000000000e+00
0043 1.0750 0.5375 -7.71200000000000e-01 -2.00000000000000e+00
0044 1.1000 0.5500 -1.00000000000000e+00 -2.00000000000000e+00
0045 1.1250 0.5625 -1.00000000000000e+00 -2.00000000000000e+00
0046 1.1500 0.5750 -1.00000000000000e+00 -2.00000000000000e+00
0047 1.1750 0.5875 -1.00000000000000e+00 -2.00000000000000e+00
0048 1.2000 0.6000 -1.00000000000000e+00 -2.00000000000000e+00
0049 1.2250 0.6125 -1.00000000000000e+00 -2.00000000000000e+00
0050 1.2500 0.6250 -1.00000000000000e+00 -2.00000000000000e+00
0051 1.2750 0.6375 -1.00000000000000e+00 -2.00000000000000e+00
0052 1.3000 0.6500 -1.00000000000000e+00 -2.00000000000000e+00
0053 1.3250 0.6625 -1.00000000000000e+00 -2.00000000000000e+00
0054 1.3500 0.6750 -1.00000000000000e+00 -2.00000000000000e+00
0055 1.3750 0.6875 -1.00000000000000e+00 -2.00000000000000e+00
0056 1.4000 0.7000 -1.00000000000000e+00 -2.00000000000000e+00
0057 1.4250 0.7125 -1.00000000000000e+00 -2.00000000000000e+00
0058 1.4500 0.7250 -1.00000000000000e+00 -2.00000000000000e+00
0059 1.4750 0.7375 -1.00000000000000e+00 -2.00000000000000e+00
0060 1.5000 0.7500 -1.00000000000000e+00 -2.00000000000000e+00
0061 1.5250 0.7625 -1.00000000000000e+00 -2.00000000000000e+00
0062 1.5500 0.7750 -1.00000000000000e+00 -2.00000000000000e+00
0063 1.5750 0.7875 -1.00000000000000e+00 -2.00000000000000e+00
0064 1.6000 0.8000 -1.00000000000000e+00 -2.00000000000000e+00
0065 1.6250 0.8125 -1.00000000000000e+00 -2.00000000000000e+00
0066 1.6500 0.8250 -1.00000000000000e+00 -2.00000000000000e+00
0067 1.6750 0.8375 -1.00000000000000e+00 -2.00000000000000e+00
0068 1.7000 0.8500 -1.00000000000000e+00 -2.00000000000000e+00
0069 1.7250 0.8625 -1.00000000000000e+00 -2.00000000000000e+00
0070 1.7500 0.8750 -1.00000000000000e+00 -2.00000000000000e+00
0071 1.7750 0.8875 -1.00000000000000e+00 -2.00000000000000e+00
0072 1.8000 0.9000 -1.00000000000000e+00 -2.00000000000000e+00
0073 1.8250 0.9125 -1.00000000000000e+00 -2.00000000000000e+00
0074 1.8500 0.9250 -1.00000000000000e+00 -2.00000000000000e+00
0075 1.8750 0.9375 -1.00000000000000e+00 -2.00000000000000e+00
0076 1.9000 0.9500 -1.00000000000000e+00 -2.00000000000000e+00
0077 1.9250 0.9625 -1.00000000000000e+00 -2.00000000000000e+00
