0001 0.0400 0.0114 1.51736060724099e+00
0002 0.0800 0.0229 1.53492214160450e+00
0003 0.1200 0.0343 1.55268692856842e+00
0004 0.1600 0.0458 1.57065732052515e+00
0005 0.2000 0.0572 1.58883569709303e+00
0006 0.2400 0.0686 1.60722446543150e+00
0007 0.2800 0.0801 1.62582606055981e+00
0008 0.3200 0.0915 1.64464294567950e+00
0009 0.3600 0.1030 1.66367761250057e+00
0010 0.4000 0.1144 1.68293258157141e+00
0011 0.4400 0.1259 1.70241040261256e+00
0012 0.4800 0.1373 1.72211365485438e+00
0013 0.5200 0.1487 1.74204494737856e+00
0014 0.5600 0.1602 1.76220691946362e+00
0015 0.6000 0.1716 1.78260224093439e+00
0016 0.6400 0.1831 1.80323361251557e+00
0017 0.6800 0.1945 1.82410376618933e+00
0018 0.7200 0.2059 1.84521546555707e+00
0019 0.7600 0.2174 1.86657150620543e+00
0020 0.8000 0.2288 1.88817471607640e+00
0021 0.8400 0.2403 1.91002795584185e+00
0022 0.8800 0.2517 1.93213411928230e+00
0023 0.9200 0.2632 1.95449613367015e+00
0024 0.9600 0.2746 1.97711696015727e+00
0025 1.0000 0.2860 1.99999959416713e+00
0026 1.0400 0.3141 1.94530962121351e+00
0027 1.0800 0.3423 1.89211514513418e+00
0028 1.1200 0.3704 1.84037527157905e+00
0029 1.1600 0.3985 1.79005022445368e+00
0030 1.2000 0.4266 1.74110131534064e+00
0031 1.2400 0.4547 1.69349091375696e+00
0032 1.2800 0.4828 1.64718241822492e+00
0033 1.3200 0.5109 1.60214022813392e+00
0034 1.3600 0.5391 1.55832971637177e+00
0035 1.4000 0.5672 1.51571720270439e+00
0036 1.4400 0.5953 1.47426992788344e+00
0037 1.4800 0.6234 1.43395602846195e+00
0038 1.5200 0.6515 1.39474451229865e+00
0039 1.5600 0.6796 1.35660523473215e+00
0040 1.6000 0.7077 1.31950887540657e+00
0041 1.6400 0.7359 1.28342691573092e+00
0042 1.6800 0.7640 1.24833161695487e+00
0043 1.7200 0.7921 1.21419599884399e+00
0044 1.7600 0.8202 1.18099381893813e+00
0045 1.8000 0.8483 1.14869955237704e+00
0046 1.8400 0.8764 1.11728837227752e+00
0047 1.8800 0.9045 1.08673613064734e+00
0048 1.9200 0.9326 1.05701933982091e+00
0049 1.9600 0.9608 1.02811515440264e+00
0050 2.0000 0.9889 1.00000135370415e+00
0051 2.0400 1.0162 1.02811515627715e+00
0052 2.0800 1.0436 1.05701934367533e+00
0053 2.1200 1.0709 1.08673613659152e+00
0054 2.1600 1.0983 1.11728838042590e+00
0055 2.2000 1.1256 1.14869956284886e+00
0056 2.2400 1.1529 1.18099383185761e+00
0057 2.2800 1.1803 1.21419601434046e+00
0058 2.3200 1.2076 1.24833163516303e+00
0059 2.3600 1.2350 1.28342693679099e+00
0060 2.4000 1.2623 1.31950889946451e+00
0061 2.4400 1.2897 1.35660526193988e+00
0062 2.4800 1.3170 1.39474454281426e+00
0063 2.5200 1.3444 1.43395606244992e+00
0064 2.5600 1.3717 1.47426996551490e+00
0065 2.6000 1.3991 1.51571724415735e+00
0066 2.6400 1.4264 1.55832976183135e+00
0067 2.6800 1.4537 1.60214027779264e+00
0068 2.7200 1.4811 1.64718247228296e+00
0069 2.7600 1.5084 1.69349097242243e+00
0070 2.8000 1.5358 1.74110137882988e+00
0071 2.8400 1.5631 1.79005029299155e+00
0072 2.8800 1.5905 1.84037534539923e+00
0073 2.9200 1.6178 1.89211522447953e+00
0074 2.9600 1.6452 1.94530970633633e+00
0075 3.0000 1.6725 1.99999968532958e+00
0076 3.0400 1.6925 1.96078400522507e+00
0077 3.0800 1.7125 1.92233726002458e+00
0078 3.1200 1.7325 1.88464437257312e+00
0079 3.1600 1.7525 1.84769056134620e+00
0080 3.2000 1.7725 1.81146133465313e+00
0081 3.2400 1.7925 1.77594248495405e+00
0082 3.2800 1.8125 1.74112008328829e+00
0083 3.3200 1.8325 1.70698047381205e+00
0084 3.3600 1.8525 1.67351026844318e+00
0085 3.4000 1.8725 1.64069634161096e+00
0086 3.4400 1.8925 1.60852582510879e+00
0087 3.4800 1.9125 1.57698610304783e+00
0088 3.5200 1.9325 1.54606480690964e+00
0089 3.5600 1.9525 1.51574981069572e+00
0090 3.6000 1.9725 1.48602922617228e+00
0091 3.6400 1.9925 1.45689139820812e+00
0092 3.6800 2.0125 1.42832490020403e+00
0093 3.7200 2.0325 1.40031852961180e+00
0094 3.7600 2.0525 1.37286130354098e+00
0095 3.8000 2.0725 1.34594245445194e+00
0096 3.8400 2.0925 1.31955142593328e+00
0097 3.8800 2.1125 1.29367786856203e+00
0098 3.9200 2.1325 1.26831163584513e+00
0099 3.9600 2.1525 1.24344278024033e+00
0100 4.0000 2.1725 1.21906154925522e+00
0000 0.0000 0.0000 1.50000000000000e+00
